dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
ukb_imaging,openalex_ukb_imaging_S_ml_top350.csv,10,FastUKB: A Revolutionary Tool for Simplifying UK Biobank Data Analysis,https://doi.org/10.1002/imm3.70001,S,6,TRUE,Linear Regression; Logistic Regression; Cox Proportional Hazards,Linear / GLM; Survival models,TRUE,Cox Proportional Hazards,Survival models,TRUE,ok,10.1002/imm3.70001,https://openalex.org/W4413029191,https://doi.org/10.1002/imm3.70001,FastUKB: A Revolutionary Tool for Simplifying UK Biobank Data Analysis,"FastUKB revolutionizes UK Biobank (UKB) data extraction through an integrated R package system with a user interface, featuring automated metadata processing, versatile selection modes, and custom file upload capabilities. Unlike traditional methods that rely on complex manual SQL/R coding, FastUKB's direct UKB-Research Analysis Platform connection enables efficient, error-reduced data extraction, significantly streamlining the research workflow. The UK Biobank Research Analysis Platform (RAP) enables researchers utilizing UK Biobank's large-scale biomedical database and research resource to access these resources in the cloud from anywhere in the world [1, 2]. However, relative to traditional local analysis, the RAP platform presents certain operational challenges. For instance, researchers must write extensive code to extract UKB variables from the RAP platform, a process that is time-consuming, costly, and prone to errors. Additionally, the RAP query browser is limited to selecting only 30 variables, thereby restricting researchers' analytical efficiency [3, 4]. In contrast, FastUKB offers an innovative solution that effectively overcomes the technical barriers of UKB database variable extraction, successfully transforming complex programming tasks into intuitive click operations (Figure 1A). For example, researchers can utilize its streamlined and intuitive interface to select the desired entities (such as participant, olink_instance, etc.) via dropdown menus, then specify the required variables, thereby enabling the extraction of any number of variables in a single operation and significantly improving research efficiency. Furthermore, compared with traditional data extraction and processing methods (Figure 1B), the system features a clear and concise user interface, utilizing dropdown menus and a hierarchical variable tree structure to facilitate efficient browsing and selection of required data entities and variables, thus effectively eliminating the burden of memorizing complex variable codes. More importantly, the platform supports variable extraction from multiple data entities, including participant (basic demographic information and clinical phenotypes), olink_instance (proteomics data), genetics (genomics data), imaging (neuroimaging and cardiac imaging data), metabolomics (metabolomics data), and activity_monitor (physical activity monitoring data), among others [5-11]. This comprehensive coverage of data types provides researchers with multi-dimensional analytical capabilities. Additionally, FastUKB includes a comprehensive UKB variable mapping table, enabling intelligent identification and matching of research requirements with actual data variables, facilitating automatic handling of complex variable coding and field name conversions, and providing robust variable search functionality that allows researchers to quickly locate required variables via keywords, thereby enhancing their understanding of data semantics. Compared with existing tools such as RAP, ukbREST [12], and ukbtools [13], FastUKB provides broader batch extraction capabilities, automated field matching, and a lower technical barrier. Table 1 summarizes the feature differences (Table 1). FastUKB serves as both a data extraction tool and a comprehensive R programming package for data analysis, providing researchers with end-to-end support from data cleaning to statistical analysis. It's built-in medical data quality control module automatically handles missing values, outliers, and coding issues in clinical variables. The system identifies and processes common coding characteristics in UKB data, such as special encodings for categorical variables, thereby saving researchers significant time in data preprocessing. FastUKB features a sophisticated quality control system specifically designed for medical data (Figure 2A), which automatically identifies various missing value markers in UKB data (such as special encodings like -1, -3, -7, etc.) and provides multiple processing options based on data type and research requirements (Figure 2B). The outlier detection algorithm integrated into this package, grounded in medical expertise, identifies physiologically unreasonable values. Furthermore, FastUKB automatically identifies and converts UKB's unique coding system, transforming raw codes into standard classifications familiar to researchers, and automatically cross-validates the logical consistency between related variables to ensure the reliability of the analytical foundation. FastUKB automatically generates baseline characteristic tables that comply with top-tier medical journal standards, including demographic characteristics, grouped comparisons of clinical indicators, and p-value calculations, thus significantly streamlining one of the most time-consuming aspects of manuscript preparation. More specifically, users need only select the variables and grouping methods to be included. FastUKB automatically selects appropriate statistical methods based on data type and distribution characteristics, and subsequently applies appropriate statistical tests for different data types to calculate p values for between-group differences. Subsequently, it automatically generates the baseline table (Figure 2C). Moreover, regarding statistical analysis, FastUKB provides users with convenient and comprehensive statistical analysis tools, including linear regression, logistic regression, Cox proportional hazards models, subgroup analysis, interaction analysis, polygenic risk scoring, and sensitivity analysis [14-17]. With this tool, users need not write complex statistical code; they can complete advanced analyses simply by setting parameters and obtain results that can be directly used in manuscripts. FastUKB's analysis suite covers the entire analytical chain from basic descriptive statistics to advanced multivariate models, thereby enhancing researchers' efficiency in statistical analysis. FastUKB incorporates an innovative custom variable upload feature, thereby significantly expanding the tool's flexibility and applicability. Researchers can upload custom ID lists in CSV, XLSX, or TXT formats. The system then intelligently matches and precisely extracts data from these specific samples, which facilitates precise sample selection for research. This feature is particularly suitable for common epidemiological study designs, such as cohort and case-control studies. Researchers can create sample lists based on predefined conditions (e.g., specific diseases, age ranges, or genotypes), and then leverage FastUKB to efficiently extract comprehensive data from these samples. The system supports diverse sample screening strategies, including case-control designs (by uploading matched control group IDs), cohort studies (by uploading participant IDs meeting inclusion criteria), random sampling, and cross-validation methods [18, 19]. When a study requires matched control groups, the system can automatically identify the most suitable matched samples within the UKB database based on specified matching variables (e.g., age, gender, socioeconomic status), thereby significantly simplifying the implementation of matched-control designs (Figure 3A). Additionally, the system supports sample data download functionality, providing users with references for standard formats to ensure correct file formatting during uploads and minimize operational errors. Compared with traditional data extraction methods (Figure 3B), this customized data extraction approach not only enhances the specificity and efficiency of research but also significantly reduces data processing complexity, allowing researchers to focus more on specific scientific questions and target population analyses. FastUKB further supports researchers in uploading custom variables for integration and analysis with UKB raw data, which encompasses: (1) external data integration (uploading supporting data obtained from other platforms or laboratories); (2) derived variable definition (uploading custom-defined derived variables such as disease risk scores); and (3) data version control (clearly distinguishing between original UKB data and user-uploaded custom data). This comprehensive functionality significantly enhances FastUKB's research adaptability, positioning it to not only meet routine analysis needs but also support highly personalized, innovative research designs, thereby offering researchers exceptional methodological flexibility. Despite its automation-first design, FastUKB allows researchers to perform flexible, personalized data processing through user-defined variable lists, sample filters, and configurable statistical settings. These features enable tailored analyses suitable for real-world clinical research needs, including matched case-control studies and exploratory subgroup analyses. The FastUKB tool has demonstrated significant value across multiple studies. Among these, two recent studies directly utilized FastUKB as part of their data extraction and analysis workflows. For example, in the study titled “Sleep pattern, genetic risk, and the risk of incident rheumatoid arthritis,” the research team utilized FastUKB to efficiently extract sleep behavior indicators from data from 375,133 participants and conducted an in-depth analysis of the association between insomnia, daytime sleepiness, and the risk of rheumatoid arthritis [20]. Similarly, in the study titled “Plasma metabolite profiles linked to the EAT-Lancet diet and inflammatory bowel disease,” FastUKB assisted researchers in efficiently processing large volumes of metabolomics data, successfully analyzing the association between dietary patterns and inflammatory bowel disease [21]. This study involved the extraction and analysis of nearly 900 metabolites. FastUKB's intelligent data processing capabilities effectively enabled automated standardization and quality control of metabolite data, allowing researchers to focus on scientific questions rather than on tedious technical details. As the world's most influential biomedical database, the scientific value and importance of the UK Biobank have been thoroughly demonstrated through numerous studies published in high-impact journals. In addition to the two aforementioned studies that directly utilized FastUKB, many other high-impact studies have illustrated the research utility of UKB data across various domains. For example, the study “Associations of healthy lifestyle and socioeconomic status with mortality and CVD,” published in The BMJ, conducted an in-depth analysis of data from nearly 400,000 participants, revealing the multidimensional and complex effects of healthy lifestyle and socioeconomic status on mortality and cardiovascular disease [22]. In the study “Identifying proteomic risk factors for cancer,” published in Nature Communications, researchers used FastUKB to analyze the association between 1463 proteins and 19 types of cancer, successfully identifying multiple potential protein biomarkers [23]. Additionally, the study “Adherence to a Healthy Sleep Pattern and Heart Failure” utilized FastUKB to conduct a systematic analysis of sleep data from 408,802 participants, revealing a clear correlation between healthy sleep patterns and a significant reduction in the risk of heart failure [24]. These high-quality studies fully demonstrate the immense scientific value of the UK Biobank while also highlighting the complexity of its data structure and the technical challenges faced by researchers. FastUKB significantly lowers the barrier to UKB data analysis from the level of professional programmers to that of ordinary clinicians through innovative batch data extraction, intelligent data processing, and a user-friendly, intuitive interface, effectively democratizing data access, greatly accelerating the research cycle, significantly improving research quality, and strongly promoting collaborative research. With the full arrival of the precision medicine era, FastUKB serves not only as an efficient technical tool but also as a crucial bridge connecting medical researchers with vast amounts of biomedical data. It provides unprecedented strong support for medical research innovation and is expected to fundamentally change how medical researchers interact with large databases, significantly accelerating the innovation and accumulation of medical knowledge, effectively promoting the translation of research findings into clinical practice, and ultimately benefiting human health. Currently, FastUKB is specifically tailored to the UK Biobank data structure and variable encoding system. Future development may explore the feasibility of extending the underlying framework to accommodate other large-scale biomedical datasets with similar architectures. Although FastUKB is currently tailored to the specific data structure and encoding systems of the UK Biobank, its modular architecture is designed with scalability in mind. Future versions may explore adaptation to other large-scale biomedical databases, such as FinnGen or All of Us, thereby broadening its application and contributing to the ecosystem of high-throughput biomedical data tools. Kailai Li, Anqi Lin, and Peng Luo: writing – original draft. Xiaohong Ke and Peng Luo: conceptualization. Kailai Li, Anqi Lin, and Peng Luo: investigation. Kailai Li, Anqi Lin, Peng Luo, and Yue Qian: writing – review and editing. Kailai Li, Yue Qian, and Xiaohong Ke: visualization. The authors have nothing to report. The authors have nothing to report. The authors have nothing to report. Peng Luo hold the position of Executive Editors-in-Chief for iMetaMed. He was excluded from editorial decision-making related to the acceptance of this article for publication in the journal. FastUKB is not open-source but is available through an institutional or individual license. It is maintained by a professional development team and includes user documentation, configuration guidance, and technical support. Researchers interested in accessing or evaluating FastUKB may contact the authors for details.","Xiaohong Ke, Kailai Li, Anqi Lin, et al.",iMetaMed,2025,8/5/2025,classification; multivariate model; algorithm; logistic regression; linear regression; cox; cox proportional hazards; cross-validation,S,cohort; clinical variables; biobank,openalex_ukb_imaging_S_ml_top350.csv,FALSE,None/Unclear,None/Unclear,TRUE,,
ukb_imaging,openalex_ukb_imaging_S_ml_top350.csv,247,Multi-omic spatial effects on high-resolution AI-derived retinal thickness,https://doi.org/10.1038/s41467-024-55635-7,S,7,TRUE,CNN; DNN; Linear Regression; Logistic Regression,Deep learning; Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1038/s41467-024-55635-7,https://openalex.org/W4407144122,https://doi.org/10.1038/s41467-024-55635-7,Multi-omic spatial effects on high-resolution AI-derived retinal thickness,"Retinal thickness is a marker of retinal health and more broadly, is seen as a promising biomarker for many systemic diseases. Retinal thickness measurements are procured from optical coherence tomography (OCT) as part of routine clinical eyecare. We processed the UK Biobank OCT images using a convolutional neural network to produce fine-scale retinal thickness measurements across > 29,000 points in the macula, the part of the retina responsible for human central vision. The macula is disproportionately affected by high disease burden retinal disorders such as age-related macular degeneration and diabetic retinopathy, which both involve metabolic dysregulation. Analysis of common genomic variants, metabolomic, blood and immune biomarkers, disease PheCodes and genetic scores across a fine-scale macular thickness grid, reveals multiple novel genetic loci including four on the X chromosome; retinal thinning associated with many systemic disorders including multiple sclerosis; and multiple associations to correlated metabolites that cluster spatially in the retina. We highlight parafoveal thickness to be particularly susceptible to systemic insults. These results demonstrate the gains in discovery power and resolution achievable with AI-leveraged analysis. Results are accessible using a bespoke web interface that gives full control to pursue findings.","Victoria E. Jackson, Yingli Wu, Roberto Bonelli, et al.",Nature Communications,2025,2/4/2025,neural network; convolutional neural network,S,biobank,openalex_ukb_imaging_S_ml_top350.csv,TRUE,Deep learning,CNN,FALSE,Deep learning;Linear / GLM,CNN;DNN;Linear Regression;Logistic Regression
hrs,openalex_hrs_S_ml_top350.csv,228,Air pollution increases the risk of frailty: China Health and Retirement Longitudinal Study (CHARLS),https://doi.org/10.1016/j.jhazmat.2025.138105,S,1,TRUE,Cox Proportional Hazards,Survival models,TRUE,Cox Proportional Hazards,Survival models,TRUE,ok,10.1016/j.jhazmat.2025.138105,https://openalex.org/W4409051690,https://doi.org/10.1016/j.jhazmat.2025.138105,Air pollution increases the risk of frailty: China Health and Retirement Longitudinal Study (CHARLS),"The longitudinal association between multiple air pollutants and frailty risk remains unexplored, and it is unclear which factors may modify this relationship. Using data from 10,584 Chinese adults aged 45 years and older in the 2011-2020 waves of the China Health and Retirement Longitudinal Study (CHARLS), we investigated whether exposure to PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, O<sub>3</sub>, and NO<sub>2</sub> affects frailty over a median follow-up of seven years. Air pollutant data were obtained from the China High Air Pollutants (CHAP) dataset, and frailty was assessed using a 44-item Frailty Index (FI ≥ 0.25). Time-varying Cox proportional hazards models, adjusted for demographic, socioeconomic, and behavioral factors, indicated that each 10 μg/m³ increase in PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, and NO<sub>2</sub> corresponded to a 7.8 %, 4.2 %, 3.8 %, and 12.9 % higher risk of frailty, respectively, while O<sub>3</sub> showed no significant association. Individuals who were sufficiently active appeared less affected by pollution, whereas those with no formal education were more vulnerable. Implementing future policies and interventions to reduce air pollution can potentially decrease the risk of frailty and promote healthy ageing.","Yuquan Chen, Zhihu Xu, Yuming Guo, et al.",Journal of Hazardous Materials,2025,4/1/2025,cox; cox proportional hazards,S,,openalex_hrs_S_ml_top350.csv,FALSE,Survival models,Cox Proportional Hazards,FALSE,Survival models,Cox Proportional Hazards
ukb_imaging,openalex_ukb_imaging_S_ml_top350.csv,547,Genome-wide meta-analysis identifies 127 open-angle glaucoma loci with consistent effect across ancestries,https://doi.org/10.1038/s41467-020-20851-4,S,7,TRUE,Transformer; Linear Regression; Logistic Regression,Deep learning; Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1038/s41467-020-20851-4,https://openalex.org/W3131963404,https://doi.org/10.1038/s41467-020-20851-4,Genome-wide meta-analysis identifies 127 open-angle glaucoma loci with consistent effect across ancestries,"Primary open-angle glaucoma (POAG), is a heritable common cause of blindness world-wide. To identify risk loci, we conduct a large multi-ethnic meta-analysis of genome-wide association studies on a total of 34,179 cases and 349,321 controls, identifying 44 previously unreported risk loci and confirming 83 loci that were previously known. The majority of loci have broadly consistent effects across European, Asian and African ancestries. Cross-ancestry data improve fine-mapping of causal variants for several loci. Integration of multiple lines of genetic evidence support the functional relevance of the identified POAG risk loci and highlight potential contributions of several genes to POAG pathogenesis, including SVEP1, RERE, VCAM1, ZNF638, CLIC5, SLC2A12, YAP1, MXRA5, and SMAD6. Several drug compounds targeting POAG risk genes may be potential glaucoma therapeutic candidates.","Puya Gharahkhani, Eric Jorgenson, Pirro G. Hysi, et al.",Nature Communications,2021,2/24/2021,auc,S,,openalex_ukb_imaging_S_ml_top350.csv,TRUE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Linear Regression;Logistic Regression
mimic,openalex_mimic_S_ml_top350.csv,130,Development of a Nomogram to Predict 28-Day Mortality of Patients With Sepsis-Induced Coagulopathy: An Analysis of the MIMIC-III Database,https://doi.org/10.3389/fmed.2021.661710,S,9,TRUE,Transformer; Random Forest; XGBoost; Logistic Regression; Support Vector Machine; Kaplan–Meier,Deep learning; Kernel / instance-based; Linear / GLM; Survival models; Tree-based ensemble,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.3389/fmed.2021.661710,https://openalex.org/W3150570210,https://doi.org/10.3389/fmed.2021.661710,Development of a Nomogram to Predict 28-Day Mortality of Patients With Sepsis-Induced Coagulopathy: An Analysis of the MIMIC-III Database,"<b>Background:</b> Sepsis-induced coagulopathy (SIC) is a common cause for inducing poor prognosis of critically ill patients in intensive care unit (ICU). However, currently there are no tools specifically designed for assessing short-term mortality in SIC patients. This study aimed to develop a practical nomogram to predict the risk of 28-day mortality in SIC patients. <b>Methods:</b> In this retrospective cohort study, we extracted patients from the Medical Information Mart for Intensive Care III (MIMIC-III) database. Sepsis was defined based on Sepsis 3.0 criteria and SIC based on Toshiaki Iba's criteria. Kaplan-Meier curves were plotted to compare the short survival time between SIC and non-SIC patients. Afterward, only SIC cohort was randomly divided into training or validation set. We employed univariate logistic regression and stepwise multivariate analysis to select predictive features. The proposed nomogram was developed based on multivariate logistic regression model, and the discrimination and calibration were verified by internal validation. We then compared model discrimination with other traditional severity scores and machine learning models. <b>Results:</b> 9432 sepsis patients in MIMIC III were enrolled, in which 3280 (34.8%) patients were diagnosed as SIC during the first ICU admission. SIC was independently associated with the 7- and 28-day mortality of ICU patients. K-M curve indicated a significant difference in 7-day (Log-Rank: <i>P</i> < 0.001 and <i>P</i> = 0.017) and 28-day survival (Log-Rank: <i>P</i> < 0.001 and <i>P</i> < 0.001) between SIC and non-SIC groups whether the propensity score match (PSM) was balanced or not. For nomogram development, a total of thirteen variables of 3,280 SIC patients were enrolled. When predicted the risk of 28-day mortality, the nomogram performed a good discrimination in training and validation sets (AUROC: 0.78 and 0.81). The AUROC values were 0.80, 0.81, 0.71, 0.70, 0.74, and 0.60 for random forest, support vector machine, sequential organ failure assessment (SOFA) score, logistic organ dysfunction score (LODS), simplified acute physiology II score (SAPS II) and SIC score, respectively, in validation set. And the nomogram calibration slope was 0.91, the Brier value was 0.15. As presented by the decision curve analyses, the nomogram always obtained more net benefit when compared with other severity scores. <b>Conclusions:</b> SIC is independently related to the short-term mortality of ICU patients. The nomogram achieved an optimal prediction of 28-day mortality in SIC patient, which can lead to a better prognostics assessment. However, the discriminative ability of the nomogram requires validation in external cohorts to further improve generalizability.","Zongqing Lu, Jin Zhang, Jianchao Hong, et al.",Frontiers in Medicine,2021,4/6/2021,machine learning; prediction; predictive; regression model; logistic regression; random forest; support vector machine,S,cohort,openalex_mimic_S_ml_top350.csv,TRUE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM;Tree-based ensemble;Kernel / instance-based;Survival models,Logistic Regression;Random Forest;Support Vector Machine;Kaplan-Meier
elsa,openalex_elsa_S_ml_top350.csv,33,Relationship between heart rate variability and subclinical thyroid disorders of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),https://doi.org/10.1590/1414-431x20187704,S,5,TRUE,Linear Regression,Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1590/1414-431x20187704,https://openalex.org/W2889235531,https://doi.org/10.1590/1414-431x20187704,Relationship between heart rate variability and subclinical thyroid disorders of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),"The association between subclinical thyroid dysfunctions and autonomic modulation changes has been described by many studies with conflicting results. We aimed to analyze the association between subclinical hyperthyroidism (SCHyper), subclinical hypothyroidism (SCHypo), and heart rate variability (HRV) using the baseline from ELSA-Brasil. SCHyper and SCHypo were classified by use of medication to treat thyroid disorders, thyrotropin levels respectively above and under the reference range, and normal free thyroxine levels. For HRV, the participants underwent 10 min in supine position and the R-R intervals of the final 5 min were selected for analysis. We first used linear regression models to report crude data and then, multivariate adjustment for sociodemographic (age, sex, and race) and cardiovascular risk factors (hypertension, dyslipidemia, diabetes, smoking, body mass index, use of alcohol, and leisure physical activity) using the euthyroid group as reference. From 9270 subjects (median age, 50; interquartile range: 44-56), 8623 (93.0%) were classified as euthyroid, 136 (1.5%) as SCHyper, and 511 (5.5%) as SCHypo. Compared to euthyroid subjects, SCHyper participants presented significantly higher heart rate (68.8 vs 66.5 for euthyroidism, P=0.007) and shorter R-R intervals (871.4 vs 901.6, P=0.007). Although SCHyper was associated with lower standard deviation of NN interval (SDNN) (β: -0.070; 95% confidence interval (95%CI): -0.014 to -0.009) and low-frequency (LF) (β: -0.242, 95%CI: -0.426 to -0.058) compared to the euthyroid group, these differences lost significance after multivariate adjustment for confounders. No significant differences were found for HRV in SCHypo. No association was found between HRV and SCHyper or SCHypo compared to euthyroid subjects in this sample of apparently healthy subjects.","Érique José Farias Peixoto de Miranda, Rosangela Hoshi, Márcio Sommer Bittencourt, et al.",Brazilian Journal of Medical and Biological Research,2018,1/1/2018,regression model; linear regression; dnn,S,,openalex_elsa_S_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
ukb_imaging,openalex_ukb_imaging_S_ml_top350.csv,468,BMI-adjusted adipose tissue volumes exhibit depot-specific and divergent associations with cardiometabolic diseases,https://doi.org/10.1038/s41467-022-35704-5,S,5,TRUE,CNN; DNN; Transformer; Linear Regression; Logistic Regression,Deep learning; Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1038/s41467-022-35704-5,https://openalex.org/W4316814873,https://doi.org/10.1038/s41467-022-35704-5,BMI-adjusted adipose tissue volumes exhibit depot-specific and divergent associations with cardiometabolic diseases,"For any given body mass index (BMI), individuals vary substantially in fat distribution, and this variation may have important implications for cardiometabolic risk. Here, we study disease associations with BMI-independent variation in visceral (VAT), abdominal subcutaneous (ASAT), and gluteofemoral (GFAT) fat depots in 40,032 individuals of the UK Biobank with body MRI. We apply deep learning models based on two-dimensional body MRI projections to enable near-perfect estimation of fat depot volumes (R<sup>2</sup> in heldout dataset = 0.978-0.991 for VAT, ASAT, and GFAT). Next, we derive BMI-adjusted metrics for each fat depot (e.g. VAT adjusted for BMI, VATadjBMI) to quantify local adiposity burden. VATadjBMI is associated with increased risk of type 2 diabetes and coronary artery disease, ASATadjBMI is largely neutral, and GFATadjBMI is associated with reduced risk. These results - describing three metabolically distinct fat depots at scale - clarify the cardiometabolic impact of BMI-independent differences in body fat distribution.","Saaket Agrawal, Marcus D. R. Klarqvist, Nathaniel Diamant, et al.",Nature Communications,2023,1/17/2023,deep learning,S,biobank,openalex_ukb_imaging_S_ml_top350.csv,TRUE,None/Unclear,None/Unclear,TRUE,Deep learning;Linear / GLM,CNN;DNN;Linear Regression;Logistic Regression
ukb_imaging,openalex_ukb_imaging_S_ml_top350.csv,382,"Obesity, Brain Volume, and White Matter Microstructure at MRI: A Cross-sectional UK Biobank Study",https://doi.org/10.1148/radiol.2019181012,S,1,TRUE,Linear Regression,Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1148/radiol.2019181012,https://openalex.org/W2940864010,https://doi.org/10.1148/radiol.2019181012,"Obesity, Brain Volume, and White Matter Microstructure at MRI: A Cross-sectional UK Biobank Study","Background Obesity has been associated with increased risk of accelerated cognitive decline and dementia, which suggests underlying neurobiological changes. Purpose To investigate the associations between obesity and brain structure (overall and regional brain volumes, and white matter microstructure) assessed at MRI in a sample of the general population. Materials and Methods Between March 2014 and January 2018, 12 087 participants (52.8% women [6381 of 12 087]; mean age, 62 years; age range, 45-76 years) in the prospective observational UK Biobank study underwent 3.0-T multiparametric (ie, three-dimensional T1-weighted diffusion tensor imaging [DTI]) brain imaging. Percentage of total body fat (TBF) was assessed by body impedance. Volumetric measures included brain volume, gray matter volume, white matter volume, volumes of subcortical gray matter structures, and regional cortical volumes. Global and tract-specific microstructure was assessed by fractional anisotropy (FA) and mean diffusivity (MD) by using DTI. Linear regression was performed by using TBF as determinant and brain measures as outcome variables, and effect estimates were expressed as standardized β values. Results Mean body mass index was 26.6 kg/m<sup>2</sup> ± 4.4 (standard deviation [SD]), mean TBF in men was 24.4% ± 5.5, and mean TBF in women was 35.5% ± 6.5. In men, TBF was negatively associated with all subcortical gray matter volumes (thalamus, caudate nucleus, putamen, globus pallidus, hippocampus, and nucleus accumbens) other than amygdala volume. In women, TBF was solely negatively associated with globus pallidus volume. In women and men, TBF was positively associated with global FA (women vs men, 0.05 vs 0.07 SD change in global FA per SD change in TBF; <i>P</i> < .001). TBF was negatively associated with global MD in women (-0.07 SD change in global MD per SD change in TBF; <i>P</i> < .001). Conclusion These findings provide evidence that obesity is associated with smaller subcortical gray matter volumes. In addition, obesity was associated with higher coherence but lower magnitude of white matter microstructure, which suggests differential influences of obesity on the geometric organization of white matter microstructure. © RSNA, 2019 <i>Online supplemental material is available for this article.</i> See also the editorial by Caspers in this issue.","Ilona A. Dekkers, Philip R. Jansen, Hildo J. Lamb",Radiology,2019,4/23/2019,linear regression,S,biobank,openalex_ukb_imaging_S_ml_top350.csv,FALSE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
elsa,openalex_elsa_S_ml_top350.csv,174,"Who cares? A comparison of informal and formal care provision in Spain, England and the USA",https://doi.org/10.1017/s0144686x12001134,S,4,TRUE,Transformer; Logistic Regression,Deep learning; Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1017/s0144686x12001134,https://openalex.org/W2154124795,https://doi.org/10.1017/s0144686x12001134,"Who cares? A comparison of informal and formal care provision in Spain, England and the USA","This paper investigates the prevalence of incapacity in performing daily activities and the associations between household composition and availability of family members and receipt of care among older adults with functioning problems in Spain, England and the United States of America (USA). We examine how living arrangements, marital status, child availability, limitations in functioning ability, age and gender affect the probability of receiving formal care and informal care from household members and from others in three countries with different family structures, living arrangements and policies supporting care of the incapacitated. Data sources include the 2006 Survey of Health, Ageing and Retirement in Europe for Spain, the third wave of the English Longitudinal Study of Ageing (2006), and the eighth wave of the USA Health and Retirement Study (2006). Logistic and multinomial logistic regressions are used to estimate the probability of receiving care and the sources of care among persons age 50 and older. The percentage of people with functional limitations receiving care is higher in Spain. More care comes from outside the household in the USA and England than in Spain. The use of formal care among the incapacitated is lowest in the USA and highest in Spain.","Aïda Solé-Auró, Eileen M. Crimmins",Ageing and Society,2012,11/6/2012,logistic regression,S,survey,openalex_elsa_S_ml_top350.csv,FALSE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
nhanes,openalex_nhanes_S_ml_top350.csv,39,Serum Biomarkers of Exposure to Perfluoroalkyl Substances in Relation to Serum Testosterone and Measures of Thyroid Function among Adults and Adolescents from NHANES 2011–2012,https://doi.org/10.3390/ijerph120606098,S,1,TRUE,Linear Regression,Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.3390/ijerph120606098,https://openalex.org/W2163064437,https://doi.org/10.3390/ijerph120606098,Serum Biomarkers of Exposure to Perfluoroalkyl Substances in Relation to Serum Testosterone and Measures of Thyroid Function among Adults and Adolescents from NHANES 2011–2012,"Perfluoroalkyl substances (PFASs) are a group of environmentally-persistent chemicals that have been widely used in many industrial applications. There is human and animal evidence that PFASs may alter levels of reproductive and thyroid-related hormones. However, human studies on the potential age-related effects of PFASs on these outcomes among males and females are limited. We explored the relationship between serum PFASs and serum total testosterone (T), thyroid stimulating hormone (TSH), and free and total triiodothyronine (FT3, TT3) and thyroxine (FT4, TT4) among males and females 12 to 80 years of age from the 2011-2012 cycle of the National Health and Nutrition Examination Survey. Associations were assessed using multiple linear regression models that were stratified on sex and age categories. Effect estimates from the majority of the adjusted models were not statistically significant. However, exposure to PFASs may be associated with increases in FT3, TT3, and FT4 among adult females, but during adolescence, PFASs may be related to increases in TSH among males and decreases in TSH among females. No significant relationships were observed between PFASs and T in any of the models. These findings suggest that exposure to PFASs may disrupt thyroid hormone homeostasis.","Ryan C. Lewis, Lauren E. Johns, John D. Meeker",International Journal of Environmental Research and Public Health,2015,5/29/2015,regression model; linear regression,S,survey,openalex_nhanes_S_ml_top350.csv,FALSE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
