dataset,title,doi_or_url,source_csv,openalex_id,year,accessible_flag,text_available,text_chars,text_source,fetch_error,patterns_detected,num_patterns,pattern__Handcrafted feature pipelines,pattern__Learned representation pipelines,pattern__Fusion-centric architectures,pattern__Sequential predictive pipelines,pattern__Robust / transfer-aware pipelines,evidence__Handcrafted feature pipelines,evidence__Learned representation pipelines,evidence__Fusion-centric architectures,evidence__Sequential predictive pipelines,evidence__Robust / transfer-aware pipelines
eicu,Supervised Machine Learning Models for Predicting Sepsis-Associated Liver Injury in Patients With Sepsis: Development and Validation Study Based on a Multicenter Cohort Study (Preprint),https://doi.org/10.2196/preprints.66733,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4410742161,2024,include_any_use,True,28927,html,,Sequential predictive pipelines,1,0,0,0,1,0,,,,"upport vector machine, elastic net, logistic regression, multilayer perceptron, and k-nearest neighbors—were trained. A stacking ensemble model, using LightGBM, XGBoost, and RF as base learners and Lasso regression as the meta-model, was optimized via 10-fold cross-validation. Hyperparameters were tuned using grid s",
eicu,Explainable Machine Learning Model for Predicting Prognosis in Patients with Malignant Tumors Complicated by Acute Respiratory Failure: Based on the eICU Collaborative Research Database in the United States,https://doi.org/10.12290/xhyxzz.2025-0995,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7130381221,2026,include_any_use,True,32438,html_plus_pdf,,,0,0,0,0,0,0,,,,,
eicu,Development and validation of machine learning models to predict in-hospital mortality in ICU patients with sepsis and chronic kidney disease,https://doi.org/10.1186/s12879-025-11949-5,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4415914775,2025,include_any_use,True,241823,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"ticle PubMed PubMed Central Google Scholar Bomrah S, et al. A scoping review of machine learning for sepsis prediction- feature engineering strategies and model performance: a step towards explainability. Crit Care. 2024;28(1):180. Article PubMed PubMed Central Google Scholar Liyanarachi KV et al. Chronic kidney disea",,,,
eicu,Prediction of Postoperative Stroke in Elderly Surgical ICU Patients Using Random Forest Model: Development on MIMIC-IV with Cross-Institutional and Temporal External Validation,https://doi.org/10.3390/biomedinformatics6020016,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7141340095,2026,include_any_use,True,2791,metadata_only,request_failed:HTTPError,Handcrafted feature pipelines,1,1,0,0,0,0,"and initial screening of 88 candidate variables, 20 clinically meaningful predictors were selected through a multistage feature selection pipeline incorporating RFECV and permutation importance. SHAP analysis and LIME analysis were used for interpretability. We evaluated ten machine learning techniques, including Lo",,,,
eicu,862: FEATURE SELECTION AND MACHINE LEARNING FOR PREDICTING SEPSIS MORTALITY USING MIMIC AND EICU DATA,https://doi.org/10.1097/01.ccm.0001185444.47382.74,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7140224921,2026,include_any_use,True,2399,metadata_only,request_failed:HTTPError,Handcrafted feature pipelines,1,1,0,0,0,0,862: FEATURE SELECTION AND MACHINE LEARNING FOR PREDICTING SEPSIS MORTALITY USING MIMIC AND EICU DATA Introduction: Early detection and intervention are critical for improving outcomes of septic patient,,,,
eicu,Interpretable Machine Learning Models for Predicting In-Hospital Mortality in Patients with Chronic Critical Illness and Heart Failure: A Multicenter Study (Preprint),https://doi.org/10.2196/preprints.62815,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4399421831,2024,include_any_use,True,37462,html,,,0,0,0,0,0,0,,,,,
eicu,Development of a machine learning-based prediction model for sepsis-associated delirium in the intensive care unit,https://doi.org/10.1038/s41598-023-38650-4,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4385567617,2023,include_any_use,True,192961,html_plus_pdf,,Handcrafted feature pipelines; Learned representation pipelines,2,1,1,0,0,0,"ation set. Least absolute shrinkage and selection operator (LASSO) regression was used for dimensionality reduction and feature selection 16 . After data reduction, predictive m ature.com. You are using a browser version with limited support for CSS. To obtain the best experience, we recommend you use a more up to d","serving as the external validation set. Least absolute shrinkage and selection operator (LASSO) regression was used for dimensionality reduction and feature selection 16 . After data reduction, predictive m ature.com. You are using a browser version with limited support for CSS. To obtain the best experience, we recommend",,,
eicu,The Prognostic Performance of Artificial Intelligence and Machine Learning Models for Mortality Prediction in Intensive Care Units: A Systematic Review,https://doi.org/10.7759/cureus.90465,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4413308291,2025,include_any_use,True,62834,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"diction models remains limited. A key barrier involves the lack of standardization in study design, data preprocessing, feature selection, validation techniques, and outcome measures. Concerns around model interpretability, generalizability across populations, and ethical implications, such as bias and accountabilit",,,,
eicu,Machine learning-based in-hospital mortality risk prediction tool for intensive care unit patients with heart failure,https://doi.org/10.3389/fcvm.2023.1119699,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4362585988,2023,include_any_use,True,92467,html_plus_pdf,,,0,0,0,0,0,0,,,,,
eicu,Prediction of respiratory failure risk in patients with pneumonia in the ICU using ensemble learning models,https://doi.org/10.1371/journal.pone.0291711,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4386921866,2023,include_any_use,True,125253,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"predictive effectiveness of the four models. Additionally, to improve the utility and interpretability of the models, a feature selection method based on the order of feature importance was used to develop compact models corresponding to the four complete models. Finally, feature importance and Shapley additive expl",,,,
eicu,Development and external validation of a machine learning model for predicting the 28-day mortality risk in patients with sepsis complicated by acute respiratory failure in the ICU,https://doi.org/10.1016/j.jointm.2025.10.010,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7120025628,2026,include_any_use,True,2830,metadata_only,html_no_text,,0,0,0,0,0,0,,,,,
eicu,Explainable machine learning-based 28-day mortality prediction model for elderly patients with acute kidney injury,https://doi.org/10.1186/s12882-026-04792-6,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7127940008,2026,include_any_use,True,271920,html_plus_pdf,,,0,0,0,0,0,0,,,,,
eicu,Development and validation of a machine learning-based prediction model for hepatorenal syndrome in liver cirrhosis patients using MIMIC-IV and eICU databases,https://doi.org/10.1038/s41598-025-86674-9,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4406643399,2025,include_any_use,True,193937,html_plus_pdf,,,0,0,0,0,0,0,,,,,
eicu,A machine learning-based prediction model for sepsis-associated delirium in intensive care unit patients with sepsis-associated acute kidney injury,https://doi.org/10.1080/0886022x.2025.2514186,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4410944670,2025,include_any_use,True,1035,metadata_only,request_failed:HTTPError,,0,0,0,0,0,0,,,,,
eicu,Data Sheet 1_Early prediction of sepsis-induced coagulopathy in the ICU using interpretable machine learning: a multi-center retrospective cohort study.docx,https://doi.org/10.3389/fmed.2025.1681621.s001,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7111356233,2025,include_any_use,True,66974,html_plus_pdf,,Handcrafted feature pipelines; Sequential predictive pipelines,2,1,0,0,1,0,"data for model development were retrieved from the Medical Information Mart for Intensive Care-IV (MIMIC-IV) database. Feature selection was performed using three distinct algorithms: least absolute shrinkage and selection operator (LASSO) regression, random forest recursive feature elimination (RF-RFE), and the Bo",,,"andom forest (RF), extreme gradient boosting (XGBoost), support vector machine (SVM), multilayer perceptron (MLP) and a stacked ensemble model (stacking). We employed Bayesian optimization with Gaussian processes for hyperparameter tuning, utilizing the expected improvement acquisition function over 100 iterations",
eicu,Revolutionizing sepsis diagnosis using machine learning and deep learning models: a systematic literature review,https://doi.org/10.1186/s12879-025-11423-2,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4415460890,2025,include_any_use,True,305205,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"retability, hindering clinical adoption. Issues related to model transparency, ethical considerations, and inconsistent feature engineering further limit real-world implementation. This review shall outline the current state-of-the-art ML models for identifying potential digital biomarkers in the early detection of se",,,,
eicu,Predicting Intensive Care Unit Patients’ Discharge Date with a Hybrid Machine Learning Model That Combines Length of Stay and Days to Discharge,https://doi.org/10.3390/math11234773,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4389056095,2023,include_any_use,True,2537,metadata_only,request_failed:HTTPError,,0,0,0,0,0,0,,,,,
eicu,Machine Learning Models in Sepsis Outcome Prediction for ICU Patients: Integrating Routine Laboratory Tests—A Systematic Review,https://doi.org/10.3390/biomedicines12122892,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4405584448,2024,include_any_use,True,2273,metadata_only,request_failed:HTTPError,,0,0,0,0,0,0,,,,,
eicu,Interpretable machine learning based on the Charlson comorbidity index predicts 28-day mortality in acute hypercapnic respiratory failure,https://doi.org/10.1038/s41598-025-33251-9,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4417537017,2025,include_any_use,True,57269,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"o groups. Table 1 Baseline characteristics of the study population. Full size table Based on univariate COX regression, feature selection using Boruta algorithms and LASSO regression analysis followed by multivariate COX regression analysis Table 2 presents the results of the univariate Cox regression analysis for a",,,,
eicu,Interpretable machine learning model for early prediction of acute kidney injury in patients with rhabdomyolysis,https://doi.org/10.1097/ec9.0000000000000126,openalex_eicu_S_ml_top350.csv,https://openalex.org/W4401726626,2024,include_any_use,True,1693,metadata_only,request_failed:HTTPError,,0,0,0,0,0,0,,,,,
eicu,Interpretable machine learning reveals phosphorus-to-albumin ratio as a novel predictor of mortality and acute kidney injury in critically ill pancreatitis patients: a multi-center retrospective analysis,https://doi.org/10.1186/s40001-026-03930-y,openalex_eicu_S_ml_top350.csv,https://openalex.org/W7127084839,2026,include_any_use,True,198819,html_plus_pdf,,Handcrafted feature pipelines,1,1,0,0,0,0,"n-hospital mortality were set to be the secondary endpoint events during analysis. Model development and validation (1) Feature selection: A nested cross-validation workflow was employed to assess the model’s generalization performance while conducting feature selection. Specifically, we randomly partitioned the dat",,,,
