dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason
eicu,openalex_eicu_S_ml_top350.csv,0,Supervised Machine Learning Models for Predicting Sepsis-Associated Liver Injury in Patients With Sepsis: Development and Validation Study Based on a Multicenter Cohort Study (Preprint),https://doi.org/10.2196/preprints.66733,S,2,True,MLP; Gradient Boosting; LightGBM; Random Forest; XGBoost; Elastic Net; LASSO; Logistic Regression; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,1,Explainable Machine Learning Model for Predicting Prognosis in Patients with Malignant Tumors Complicated by Acute Respiratory Failure: Based on the eICU Collaborative Research Database in the United States,https://doi.org/10.12290/xhyxzz.2025-0995,S,3,True,MLP; Gradient Boosting; XGBoost; LASSO; Logistic Regression; Support Vector Machine; Decision Tree,Deep learning; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,True,XGBoost,Tree-based ensemble,True,ok
eicu,openalex_eicu_S_ml_top350.csv,2,Development and validation of machine learning models to predict in-hospital mortality in ICU patients with sepsis and chronic kidney disease,https://doi.org/10.1186/s12879-025-11949-5,S,9,True,DNN; Graph neural network; Gradient Boosting; Random Forest; XGBoost; LASSO; Logistic Regression; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,True,XGBoost,Tree-based ensemble,True,ok
eicu,openalex_eicu_S_ml_top350.csv,3,Machine Learning-Based Predictive Modeling of ICU Mortality Risk in Septic Shock and Heart Failure Patients: Insights from MIMIC-IV and eICU-CRD (Preprint),https://doi.org/10.2196/preprints.69401,S,0,False,MLP; Gradient Boosting; Random Forest; XGBoost; Elastic Net; LASSO; Logistic Regression; Support Vector Machine; Decision Tree,Deep learning; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,False,,,False,not_included_any
eicu,openalex_eicu_S_ml_top350.csv,4,Prediction of Postoperative Stroke in Elderly Surgical ICU Patients Using Random Forest Model: Development on MIMIC-IV with Cross-Institutional and Temporal External Validation,https://doi.org/10.3390/biomedinformatics6020016,S,1,True,CatBoost; Gradient Boosting; Random Forest; XGBoost; Logistic Regression; Support Vector Machine; k-Nearest Neighbors; Naive Bayes; Decision Tree,Kernel / instance-based; Linear / GLM; Other classical ML; Probabilistic / statistical; Tree-based ensemble,True,Random Forest,Tree-based ensemble,True,ok
eicu,openalex_eicu_S_ml_top350.csv,5,862: FEATURE SELECTION AND MACHINE LEARNING FOR PREDICTING SEPSIS MORTALITY USING MIMIC AND EICU DATA,https://doi.org/10.1097/01.ccm.0001185444.47382.74,S,1,True,Gradient Boosting; LightGBM; XGBoost; LASSO; Logistic Regression; Support Vector Machine; Ensemble,Ensemble / stacking; Kernel / instance-based; Linear / GLM; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,6,Interpretable Machine Learning Models for Predicting In-Hospital Mortality in Patients with Chronic Critical Illness and Heart Failure: A Multicenter Study (Preprint),https://doi.org/10.2196/preprints.62815,S,1,True,Gradient Boosting; Random Forest; XGBoost; Support Vector Machine; k-Nearest Neighbors; Naive Bayes,Kernel / instance-based; Probabilistic / statistical; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,7,Development of a machine learning-based prediction model for sepsis-associated delirium in the intensive care unit,https://doi.org/10.1038/s41598-023-38650-4,S,4,True,Gradient Boosting; Random Forest; XGBoost; LASSO; Logistic Regression; Support Vector Machine; k-Nearest Neighbors; Kaplan–Meier; Naive Bayes; Decision Tree,Kernel / instance-based; Linear / GLM; Other classical ML; Probabilistic / statistical; Survival models; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,8,The Prognostic Performance of Artificial Intelligence and Machine Learning Models for Mortality Prediction in Intensive Care Units: A Systematic Review,https://doi.org/10.7759/cureus.90465,S,3,True,DNN; RNN; Gradient Boosting; Random Forest; XGBoost; Logistic Regression; Ensemble,Deep learning; Ensemble / stacking; Linear / GLM; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,9,Machine learning-based in-hospital mortality risk prediction tool for intensive care unit patients with heart failure,https://doi.org/10.3389/fcvm.2023.1119699,S,8,True,Transformer; Gradient Boosting; Random Forest; XGBoost; LASSO; Linear Regression; Logistic Regression; Ensemble,Deep learning; Ensemble / stacking; Linear / GLM; Tree-based ensemble,True,,,False,primary_unclear
eicu,openalex_eicu_S_ml_top350.csv,10,Prediction of respiratory failure risk in patients with pneumonia in the ICU using ensemble learning models,https://doi.org/10.1371/journal.pone.0291711,S,9,True,Transformer; CatBoost; LightGBM; Random Forest; XGBoost; Ensemble,Deep learning; Ensemble / stacking; Tree-based ensemble,True,Ensemble,Ensemble / stacking,True,ok
eicu,openalex_eicu_S_ml_top350.csv,11,Development and external validation of a machine learning model for predicting the 28-day mortality risk in patients with sepsis complicated by acute respiratory failure in the ICU,https://doi.org/10.1016/j.jointm.2025.10.010,S,1,True,AdaBoost; CatBoost; Gradient Boosting; Random Forest; XGBoost; Logistic Regression,Linear / GLM; Tree-based ensemble,True,XGBoost,Tree-based ensemble,True,ok
