openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W4410742161,https://doi.org/10.2196/preprints.66733,Supervised Machine Learning Models for Predicting Sepsis-Associated Liver Injury in Patients With Sepsis: Development and Validation Study Based on a Multicenter Cohort Study (Preprint),2024,2024-09-22,preprint,0,4.340372,"Jingchao Lei, Jia Zhai, Yao Zhang, et al.",NA,True,25,machine learning; artificial intelligence; prediction model; prediction; predictive; logistic regression; lasso; elastic net; decision tree; random forest; gradient boosting; gradient boosting machine; gbm; xgboost; lightgbm; support vector machine; multilayer perceptron; k-nearest neighbor; nearest neighbor; ensemble model; stacking; auc; area under the curve; model performance; cross-validation,S,2,cohort; multivariable,"<sec> <title>BACKGROUND</title> Sepsis-associated liver injury (SALI) is a severe complication of sepsis that contributes to increased mortality and morbidity. Early identification of SALI can improve patient outcomes; however, sepsis heterogeneity makes timely diagnosis challenging. Traditional diagnostic tools are often limited, and machine learning techniques offer promising solutions for predicting adverse outcomes in patients with sepsis. </sec> <sec> <title>OBJECTIVE</title> This study aims to develop an explainable machine learning model, incorporating stacking techniques, to predict the occurrence of liver injury in patients with sepsis and provide decision support for early intervention and personalized treatment strategies. </sec> <sec> <title>METHODS</title> This retrospective multicenter cohort study adhered to the TRIPOD+AI (Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis, Extended for Artificial Intelligence) guidelines. Data from 8834 patients with sepsis in the Medical Information Mart for Intensive Care IV (MIMIC-IV) database were used for training and internal validation, while data from 4236 patients in the eICU-Collaborative Research Database (eICU-CRD) database were used for external validation. SALI was defined as an international normalized ratio &amp;gt;1.5 and total bilirubin &amp;gt;2 mg/dL within 1 week of intensive care unit admission. Nine machine learning models—decision tree, random forest (RF), extreme gradient boosting (XGBoost), light gradient boosting machine (LightGBM), support vector machine, elastic net, logistic regression, multilayer perceptron, and k-nearest neighbors—were trained. A stacking ensemble model, using LightGBM, XGBoost, and RF as base learners and Lasso regression as the meta-model, was optimized via 10-fold cross-validation. Hyperparameters were tuned using grid search and Bayesian optimization. Model performance was evaluated using accuracy, balanced accuracy, Brier score, detection prevalence, F1-score, Jaccard index, κ coefficient, Matthews correlation coefficient, negative predictive value, positive predictive value, precision, recall, area under the receiver operating characteristic curve (ROC-AUC), precision-recall AUC, and decision curve analysis. Shapley additive explanations (SHAP) values were used to quantify feature importance. </sec> <sec> <title>RESULTS</title> In the training set, LightGBM, XGBoost, and RF demonstrated the best performance among all models, with ROC-AUCs of 0.9977, 0.9311, and 0.9847, respectively. These models exhibited minimal variance in cross-validation, with tightly clustered ROC-AUC and precision-recall area under the curve distributions. In the internal validation set, LightGBM (ROC-AUC 0.8401) and XGBoost (ROC-AUC 0.8403) outperformed all other models, while RF achieved an ROC-AUC of 0.8193. In the external validation set, LightGBM (ROC-AUC 0.7077), XGBoost (ROC-AUC 0.7169), and RF (ROC-AUC 0.7081) maintained strong performance, although with slight decreases in ROC-AUC compared with the training set. The stacking model achieved ROC-AUCs of 0.995, 0.838, and 0.721 in the training, internal validation, and external validation sets, respectively. Key predictors—total bilirubin, lactate, prothrombin time, and mechanical ventilation status—were consistently identified across models, with SHAP analysis highlighting their significant contributions to the model’s predictions. </sec> <sec> <title>CONCLUSIONS</title> The stacking ensemble model developed in this study yields accurate and robust predictions of SALI in patients with sepsis, demonstrating potential clinical utility for early intervention and personalized treatment strategies. </sec>"
https://openalex.org/W7130381221,https://doi.org/10.12290/xhyxzz.2025-0995,Explainable Machine Learning Model for Predicting Prognosis in Patients with Malignant Tumors Complicated by Acute Respiratory Failure: Based on the eICU Collaborative Research Database in the United States,2026,2026-01-01,article,0,24.351513,"NAN Zihan, HAN Linan, Li Suwei, et al.",SHILAP Revista de lepidopterología,True,17,machine learning; prediction model; risk prediction; prediction; predictive; algorithm; logistic regression; lasso; decision tree; gradient boosting; xgboost; support vector machine; svm; mlp; multilayer perceptron; auc; model performance,S,1,risk prediction,"ObjectiveTo develop and validate a model for predicting intensive care unit (ICU) mortality risk in patients with malignant tumors complicated by acute respiratory failure (ARF) based on an explainable machine learning framework.MethodsClinical data of patients with malignant tumors and ARF were extracted from the eICU Collaborative Research Database in the United States, including demographic characteristics, comorbidities, vital signs, laboratory test indicators, and major interventions within the first 24 hours after ICU admission.The study outcome was ICU death.Enrolled patients were randomly divided into a training set and a validation set at a ratio of 7:3.Predictor variables were selected using least absolute shrinkage and selection operator (LASSO) regression.Five machine learning algorithms-extreme gradient boosting (XGBoost), support vector machine (SVM), Logistic regression, multilayer perceptron (MLP), and C5.0 Decision Tree-were employed to construct predictive models.Model performance was evaluated based on the area under the receiver operating characteristic curve (AUC), accuracy, sensitivity, and other metrics.The optimal model was further interpreted using the Shapley additive explanations (SHAP) algorithm.ResultsA total of 3196 patients with malignant tumors complicated by ARF were included.The training set comprised 2, 261 patients and the validation set 935 patients; 683 patients died during ICU stay, while 2513 survived.LASSO regression ultimately selected 12 variables closely associated with patient ICU outcomes, including sepsis comorbidity, use of vasoactive drugs, and within the first 24 hours after ICU admission: minimum mean arterial pressure, maximum heart rate, maximum respiratory rate, minimum oxygen saturation, minimum serum bicarbonate, minimum blood urea nitrogen, maximum white blood cell count, maximum mean corpuscular volume, maximum serum potassium, and maximum blood glucose.After model evaluation, the XGBoost model demonstrated the best performance.The AUCs for predicting ICU mortality risk in the training and validation sets were 0.940 and 0.763, respectively; accuracy was 88.3% and 81.2%;sensitivity was 98.5% and 95.9%.Its predictive performance also remained optimal in sensitivity analyses.SHAP analysis indicated that the top five variables contributing to the model's predictions were minimum oxygen saturation, minimum serum bicarbonate, minimum mean arterial pressure, use of vasoactive drugs, and maximum white blood cell count.ConclusionsThis study successfully developed a mortality risk prediction model for ICU patients with malignant tumors complicated by ARF based on a large-scale dataset and performed explainability analysis.The model aids clinicians in early identification of high-risk patients and implementing individualized interventions."
https://openalex.org/W4415914775,https://doi.org/10.1186/s12879-025-11949-5,Development and validation of machine learning models to predict in-hospital mortality in ICU patients with sepsis and chronic kidney disease,2025,2025-11-05,article,0,9.130837,"Shuoyan An, Zixiang Ye, Wenquan Che, et al.",BMC Infectious Diseases,True,17,machine learning; prediction; predictive; algorithm; logistic regression; decision tree; random forest; gradient boosting; xgboost; support vector machine; svm; neural network; k-nearest neighbor; knn; nearest neighbor; auc; model performance,S,1,cohort,"Sepsis is a life-threatening condition, particularly in intensive care unit (ICU) patients with chronic kidney disease (CKD). However, accurate prediction of in-hospital mortality in this high-risk population remains a clinical challenge. This study aimed to develop and validate machine learning (ML) models to predict in-hospital mortality among ICU patients with sepsis and CKD. Patients diagnosed with both sepsis and CKD were identified from the Medical Information Mart for Intensive Care IV (MIMIC-IV) database. Feature selection was performed using the Boruta algorithm. Multiple ML models were developed, including logistic regression (LR), decision tree, k-nearest neighbors (KNN), random forest (RF), support vector machine (SVM), neural network (NN), gradient boosting decision tree (GBDT), and extreme gradient boosting (XGBoost), along with the Sequential Organ Failure Assessment (SOFA) score for comparison. Model performance was evaluated using the area under the receiver operating characteristic curve (AUC) and average precision (AP). The best-performing model was externally validated in an independent cohort from the eICU Collaborative Research Database (eICU-CRD) and further interpreted using Shapley Additive Explanations (SHAP). A total of 4,686 ICU patients with sepsis and CKD were included in the development cohort. Among the models, XGBoost demonstrated the best performance with an AUC of 0.911, AP of 0.771, specificity of 96%, and sensitivity of 62%. In the external validation cohort of 3,718 patients, XGBoost also achieved excellent predictive performance with an AUC of 0.855. Model calibration and decision curve analysis confirmed its clinical utility. The top 20 predictors were visualized and ranked based on SHAP values. Machine learning models, particularly XGBoost, can accurately predict in-hospital mortality in ICU patients with sepsis and CKD. These models may assist clinicians in risk stratification and decision-making for this vulnerable patient population."
https://openalex.org/W4404848889,https://doi.org/10.2196/preprints.69401,Machine Learning-Based Predictive Modeling of ICU Mortality Risk in Septic Shock and Heart Failure Patients: Insights from MIMIC-IV and eICU-CRD (Preprint),2024,2024-11-28,preprint,0,28.171753,"Qianfei Liu, Long Zhou, Ling Hou, et al.",NA,True,16,machine learning; predictive modeling; prediction; predictive; algorithm; logistic regression; lasso; elastic net; decision tree; random forest; gradient boosting; gradient boosting machine; support vector machine; support vector machines; multilayer perceptron; auc,S,0,,"<sec> <title>BACKGROUND</title> Patients with septic shock complicated by heart failure exhibit a significantly high mortality rate in the Intensive Care Unit (ICU). Timely intervention and early identification of high-risk patients are essential. </sec> <sec> <title>OBJECTIVE</title> In recent years, machine learning has garnered increasing attention for its applications in medical prediction; however, its use in the context of patients with septic shock and heart failure remains relatively underexplored. </sec> <sec> <title>METHODS</title> This study employed the Medical Information Mart for Intensive Care IV (MIMIC-IV)and eICU Collaborative Research Database (eICU-CRD) to identify patients with concurrent diagnoses of septic shock and heart failure. The MIMIC-IV database was used for model training, while the eICU-CRD database served for model validation.Using least absolute shrinkage and selection operator (LASSO) regression, we identified 18 variables significantly associated with prognosis and developed predictive models using eight machine learning algorithms: decision trees, random forests, extreme gradient boosting, light gradient boosting machine, support vector machines, multilayer perceptrons, elastic net, and logistic regression.The optimal model was determined through performance comparison of all models, followed by validation. </sec> <sec> <title>RESULTS</title> The study included 1,263 patients, comprising 860 from the MIMIC-IV database and 403 from the eICU-CRD database.The ICU mortality rates were 25.5% in the MIMIC-IV database and 19.6% in the eICU-CRD database.The random forest model demonstrated superior performance over other models in all evaluation metrics, achieving an area under curve (AUC) of 0.9349, accuracy of 87.8%, sensitivity of 0.829, F1 score of 0.763, Positive Predictive Value (PPV) of 0.707, and Negative Predictive Value (NPV) of 0.944 in the training set.In the test set, the random forest (RF) model maintained a leading position with an AUC of 0.7289 and an accuracy of 69.5%.Analysis of model interpretability identified acute physiology score III(APSIII), length of ICU stay, lactate levels, sequential organ failure assessment (SOFA) score, and prothrombin time as significant predictors of ICU mortality risk. </sec> <sec> <title>CONCLUSIONS</title> The random forest model demonstrated excellent performance in predicting ICU mortality risk among patients with septic shock and heart failure, exhibiting high accuracy and reliability.This model is a reliable predictive tool that assists clinicians in identifying high-risk patients early, facilitating timely intervention. </sec>"
https://openalex.org/W7141340095,https://doi.org/10.3390/biomedinformatics6020016,Prediction of Postoperative Stroke in Elderly Surgical ICU Patients Using Random Forest Model: Development on MIMIC-IV with Cross-Institutional and Temporal External Validation,2026,2026-03-27,article,0,8.770491,"Houji Jin, Mohammadsaeed Haghi, Nausin Kudrot, et al.",BioMedInformatics,True,16,machine learning; prediction; predictive; logistic regression; decision tree; random forest; gradient boosting; xgboost; catboost; support vector machine; svm; neural network; naive bayes; k-nearest neighbor; knn; nearest neighbor,S,0,,"Postoperative stroke is a serious and fatal condition that often affects elderly surgical patients. This rare but severe complication arises from complex interactions between comorbidities, physiologic instability and demographic disturbances that traditional risk tools often fail to capture.This study aims to develop and validate a machine learning model with an improved ability to predict the risk of postoperative stroke in elderly patients utilising the comprehensive clinical and demographic ICU data from the Medical Information Mart for Intensive Care IV (MIMIC-IV) database. External validation was performed on MIMIC-III and the eICU Collaborative Research Database, with eICU being the primary validation set. We identified postoperative surgical intensive care unit (SICU) patients aged 55 years or older from all databases. A strict temporal window of the first 24 h of ICU admission was applied across all three datasets while extracting features like laboratory measurements and vital sign summaries in order to ensure that all predictor values were derived from a fixed observation period at the beginning of ICU stay. After preprocessing, applying Multivariate Imputation by Chained Equations (MICE) imputation and initial screening of 88 candidate variables, 20 clinically meaningful predictors were selected through a multistage feature selection pipeline incorporating RFECV and permutation importance. SHAP analysis and LIME analysis were used for interpretability. We evaluated ten machine learning techniques, including Logistic Regression, Decision Tree, Random Forest, K-Nearest Neighbors (KNNs), Support Vector Machine (SVM–RBF Kernel), Gradient Boosting (GBDT), Neural Network, XGBoost, CatBoost, Naive Bayes. Among them, Random Forest demonstrated strong predictive performance by achieving an AUROC of 0.8072 (95% CI [0.7890, 0.8253]) on the internal validation set. The model also achieved AUROC of 0.7557 (95% CI [0.7267, 0.7794]) and 0.9144 (95% CI [0.8893, 0.9378]) on the external validation sets eICU and MIMIC-III, respectively. Mean systolic blood pressure, Elixhauser score, minimum calcium, and minimum INR (PT) were consistently identified as the most influential predictors through both SHAP analysis and LIME analysis, thus strengthening model interpretability. Our findings suggest that a Random Forest-based predictive model can provide an accurate and generalisable prediction of postoperative stroke in elderly ICU patients using routinely collected physiologic and laboratory data. This also supports early risk stratification and targeted postoperative monitoring."
https://openalex.org/W7140224921,https://doi.org/10.1097/01.ccm.0001185444.47382.74,862: FEATURE SELECTION AND MACHINE LEARNING FOR PREDICTING SEPSIS MORTALITY USING MIMIC AND EICU DATA,2026,2026-03-01,article,0,30.255238,Eunie Yook,Critical Care Medicine,True,15,machine learning; artificial intelligence; predictive; logistic regression; lasso; gradient boosting; gradient boosting machine; gbm; xgboost; lightgbm; support vector machine; support vector machines; svm; auc; model performance,S,1,cohort,"Introduction: Early detection and intervention are critical for improving outcomes of septic patients in the intensive care unit (ICU); however, established severity scoring systems often fail to facilitate real-time applications. Rapidly advancing machine learning (ML) models using large, de-identified public datasets have enhanced the development of predictive models, improving accuracy and interpretability. This focused literature review evaluates feature selection methods, ML model performance, and interpretability techniques for predicting sepsis-related mortality using three large public ICU databases: MIMIC-III, MIMIC-IV, and eICU-CRD. Methods: A literature search through the PubMed and Embase databases identified fifteen cohort studies that met the inclusion criteria, requiring the use of ML models with feature selection and interpretability to predict sepsis-related mortality using any of three large ICU datasets. Artificial intelligence (ChatGPT, Grammarly) was used for grammar and clarity; all content was reviewed and verified by the author. Results: Ensemble learning models, such as eXtreme Gradient Boosting (XGBoost) and Light Gradient Boosting Machine (LightGBM), generally outperform classic models, including Support Vector Machines (SVM) and Logistic Regression (LR), with reported AUC values ranging from 0.79 to 0.99. Feature selection methods (Recursive Feature Elimination (RFE), the Least Absolute Shrinkage and Selection Operator (LASSO), and entropy filtering) identified key predictors such as age, Glasgow Coma Scale (GCS) score, urine output, blood urea nitrogen (BUN), lactate, and ventilation status. Thirteen of fifteen studies incorporated Shapley Additive Explanations (SHAP) and Local Interpretable Model-Agnostic Explanations (LIME), improving clinical relevance and enhancing clinician trust. Conclusions: ML models built using large ICU data with interpretability techniques have the potential to improve sepsis mortality. The retrospective nature of studies and reliance on single-center datasets limit their generalizability. The focus of future studies should be on external validation, prospective cohort evaluation, and integration into real-time clinical operations to optimize early intervention strategies for treating septic patients."
https://openalex.org/W4399421831,https://doi.org/10.2196/preprints.62815,Interpretable Machine Learning Models for Predicting In-Hospital Mortality in Patients with Chronic Critical Illness and Heart Failure: A Multicenter Study (Preprint),2024,2024-06-01,preprint,0,7.83935,"Min He, Yongqi Lin, Siyu Ren, et al.",NA,True,14,machine learning; prediction model; prediction; predictive; algorithm; random forest; gradient boosting; gradient boosting machine; support vector machine; svm; naive bayes; k-nearest neighbor; nearest neighbor; cross-validation,S,1,cohort,"<sec> <title>BACKGROUND</title> Heart failure (HF) is a leading cause of morbidity and mortality among patients in intensive care units (ICUs), particularly those with chronic critical illness (CCI). </sec> <sec> <title>OBJECTIVE</title> We aimed to develop and validate a machine learning (ML) model to predict in-hospital mortality for in CCI patients with CCI and HF. </sec> <sec> <title>METHODS</title> Retrospective data encompassing medical records from over 200 hospitals were obtained from the Medical Information Mart for Intensive Care III (MIMIC-III), MIMIC-IV, and eICU Collaborative Research Database (eICU-CRD). Patients diagnosed with CCI and HF at their first ICU admission were included. The MIMIC-III and -IV datasets were used as a derivation cohort, while that from eICU-CRD was employed as a validation cohort. Key predictive features were identified utilizing the recursive feature elimination with 10-fold cross-validation method. Subsequently, multiple ML algorithms were evaluated, including Random Forest, K-Nearest Neighbors, Support Vector Machine (SVM), Extreme Gradient Boosting, Naive Bayes, Light Gradient Boosting Machine, and Adaptive Boosting. The performance of the models was assessed via metrics such as area under the receiver operating characteristic curve (AUROC), decision curve analysis, accuracy, sensitivity, specificity, and F1 score. Furthermore, model interpretability was enhanced by applying the SHapley Additive exPlanations (SHAP) and Local Interpretable Model-Agnostic Explanations (LIME) methods, providing insights into the contribution of individual features to the predictive outcomes. </sec> <sec> <title>RESULTS</title> A total of 780 (males: 451 [57.8%]) and 610 (males: 343 [56.2%]) patients with CCI and HF were allocated to the derivation and validation cohorts, respectively. Eleven features were selected to develop the prediction models. Among all models, the SVM algorithm-based model demonstrated high predictive accuracy (derivation cohort: AUROC, 0.781; sensitivity, 0.739; specificity, 0.691; and F1 score, 0.613; validation cohort: AUROC, 0.683; accuracy, 0.645; sensitivity, 0.607; specificity, 0.656; and F1 score, 0.44). The SHAP and LIME analyses evaluated the feature contributions, highlighting Sequential Organ Failure Assessment score, oxyhemoglobin saturation, diastolic blood pressure, and systolic blood pressure as significant predictors of in-hospital mortality. </sec> <sec> <title>CONCLUSIONS</title> The SVM model developed in this study effectively predicts in-hospital mortality in patients with CCI and HF and can serve as a reliable tool for early intervention and improved patient management. Furthermore, this ML model combines high accuracy with interpretability, thereby substantially contributing to clinical predictive analytics. </sec>"
https://openalex.org/W4385567617,https://doi.org/10.1038/s41598-023-38650-4,Development of a machine learning-based prediction model for sepsis-associated delirium in the intensive care unit,2023,2023-08-04,article,55,144.2851,"Yang Zhang, Juanjuan Hu, Tianfeng Hua, et al.",Scientific Reports,True,14,machine learning; prediction model; prediction; predictive; logistic regression; decision tree; random forest; gradient boosting; xgboost; support vector machine; support vector machines; naive bayes; k-nearest neighbor; nearest neighbor,S,0,,"Septic patients in the intensive care unit (ICU) often develop sepsis-associated delirium (SAD), which is strongly associated with poor prognosis. The aim of this study is to develop a machine learning-based model for the early prediction of SAD. Patient data were extracted from the Medical Information Mart for Intensive Care IV (MIMIC-IV) database and the eICU Collaborative Research Database (eICU-CRD). The MIMIC-IV data were divided into a training set and an internal validation set, while the eICU-CRD data served as an external validation set. Feature variables were selected using least absolute shrinkage and selection operator regression, and prediction models were built using logistic regression, support vector machines, decision trees, random forests, extreme gradient boosting (XGBoost), k-nearest neighbors and naive Bayes methods. The performance of the models was evaluated in the validation set. The model was also applied to a group of patients who were not assessed or could not be assessed for delirium. The MIMIC-IV and eICU-CRD databases included 14,620 and 1723 patients, respectively, with a median time to diagnosis of SAD of 24 and 30 h. Compared with Non-SAD patients, SAD patients had higher 28-days ICU mortality rates and longer ICU stays. Among the models compared, the XGBoost model had the best performance and was selected as the final model (internal validation area under the receiver operating characteristic curves (AUROC) = 0.793, external validation AUROC = 0.701). The XGBoost model outperformed other models in predicting SAD. The establishment of this predictive model allows for earlier prediction of SAD compared to traditional delirium assessments and is applicable to patients who are difficult to assess with traditional methods."
https://openalex.org/W4413308291,https://doi.org/10.7759/cureus.90465,The Prognostic Performance of Artificial Intelligence and Machine Learning Models for Mortality Prediction in Intensive Care Units: A Systematic Review,2025,2025-08-19,review,0,7.259135,"Archana Dhami, Kosisochukwu A Onyeukwu, Saba Sattar, et al.",Cureus,True,14,machine learning; artificial intelligence; deep learning; prediction; predictive; algorithm; model development; logistic regression; random forest; gradient boosting; xgboost; neural network; neural networks; recurrent neural network,S,0,,"In-hospital mortality prediction for patients admitted to the ICU remains a critical challenge in the field of critical care medicine. This systematic review evaluates the application of artificial intelligence (AI) and machine learning (ML) models for predicting in-hospital mortality in ICU settings. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we analyzed 15 studies published between January 2015 and April 2025 that utilized AI and ML approaches for mortality prediction in ICU populations. The most commonly employed algorithms were extreme gradient boosting (XGBoost), random forest, and logistic regression, with data predominantly sourced from two major publicly available critical care databases: the Medical Information Mart for Intensive Care (MIMIC) and the eICU Collaborative Research Database (eICU-CRD). Across all studies, AI and ML models consistently outperformed traditional clinical scoring systems such as the Acute Physiology and Chronic Health Evaluation (APACHE), Sequential Organ Failure Assessment (SOFA), and Simplified Acute Physiology Score (SAPS), demonstrating superior discriminative performance in mortality prediction. Ensemble methods, particularly random forest and XGBoost, generally achieved the highest predictive accuracy, while deep learning approaches such as recurrent neural networks showed particular promise for analyzing temporal trends in physiological data. Key predictive features identified across multiple studies included patient age, vital signs (especially heart rate and blood pressure), laboratory values (particularly markers of renal function), and metrics of neurological status such as level of consciousness. Importantly, several studies developed models that required only routinely collected clinical data available within the first 24 hours of ICU admission, demonstrating the feasibility of early risk stratification using AI and ML. Although most research remains retrospective in nature and confined to a limited number of datasets, the consistent performance advantages observed across diverse modeling approaches underscore the significant clinical potential of AI and ML in ICU mortality prediction. Future research should prioritize the use of standardized model development and reporting methodologies, prospective validation in diverse and real-world clinical settings, exploration of integration and implementation challenges, and rigorous assessments of clinical impact. Such efforts are critical to translating these promising predictive technologies into improved decision-making processes and outcomes for critically ill patients."
https://openalex.org/W4362585988,https://doi.org/10.3389/fcvm.2023.1119699,Machine learning-based in-hospital mortality risk prediction tool for intensive care unit patients with heart failure,2023,2023-04-03,article,35,79.15137,"Zijun Chen, Tingming Li, Sheng Guo, et al.",Frontiers in Cardiovascular Medicine,True,13,machine learning; prediction model; risk prediction; prediction; predictive; regression model; algorithm; logistic regression; lasso; gradient boosting; xgboost; area under the curve; model performance,S,1,risk prediction,"Objective Risk stratification of patients with congestive heart failure (HF) is vital in clinical practice. The aim of this study was to construct a machine learning model to predict the in-hospital all-cause mortality for intensive care unit (ICU) patients with HF. Methods eXtreme Gradient Boosting algorithm (XGBoost) was used to construct a new prediction model ( XGBoost model ) from the Medical Information Mart for Intensive Care IV database (MIMIC-IV) (training set). The eICU Collaborative Research Database dataset (eICU-CRD) was used for the external validation (test set). The XGBoost model performance was compared with a logistic regression model and an existing model (Get with the guideline-Heart Failure model) for mortality in the test set. Area under the receiver operating characteristic cure and Brier score were employed to evaluate the discrimination and the calibration of the three models. The SHapley Additive exPlanations (SHAP) value was applied to explain XGBoost model and calculate the importance of its features. Results The total of 11,156 and 9,837 patients with congestive HF from the training set and test set, respectively, were included in the study. In-hospital all-cause mortality occurred in 13.3% (1,484/11,156) and 13.4% (1,319/9,837) of patients, respectively. In the training set, of 17 features with the highest predictive value were selected into the models with LASSO regression. Acute Physiology Score III (APS III), age and Sequential Organ Failure Assessment (SOFA) were strongest predictors in SHAP. In the external validation, the XGBoost model performance was superior to that of conventional risk predictive methods, with an area under the curve of 0.771 (95% confidence interval, 0.757–0.784) and a Brier score of 0.100. In the evaluation of clinical effectiveness, the machine learning model brought a positive net benefit in the threshold probability of 0%–90%, prompting evident competitiveness compare to the other two models. This model has been translated into an online calculator which is accessible freely to the public ( https://nkuwangkai-app-for-mortality-prediction-app-a8mhkf.streamlit.app ). Conclusion This study developed a valuable machine learning risk stratification tool to accurately assess and stratify the risk of in-hospital all-cause mortality in ICU patients with congestive HF. This model was translated into a web-based calculator which access freely."
