dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
mimic,openalex_mimic_T_ml_top350.csv,330,Predicting 30-days mortality for MIMIC-III patients with sepsis-3: a machine learning approach using XGboost,https://doi.org/10.1186/s12967-020-02620-5,T,7,TRUE,Gradient Boosting; Random Forest; XGBoost; LASSO; Logistic Regression,Linear / GLM; Tree-based ensemble,TRUE,XGBoost,Tree-based ensemble,TRUE,ok,10.1186/s12967-020-02620-5,https://openalex.org/W3111698685,https://doi.org/10.1186/s12967-020-02620-5,Predicting 30-days mortality for MIMIC-III patients with sepsis-3: a machine learning approach using XGboost,"Using machine learning technique by XGboost, more significant prediction model can be built. This XGboost model may prove clinically useful and assist clinicians in tailoring precise management and therapy for the patients with sepsis-3.","Nianzong Hou, Mingzhe Li, Lu He, et al.",Journal of Translational Medicine,2020,12/1/2020,machine learning; prediction model; prediction; xgboost,T,,openalex_mimic_T_ml_top350.csv,TRUE,Tree-based ensemble,XGBoost,FALSE,Tree-based ensemble;Linear / GLM,Gradient Boosting;XGBoost;Logistic Regression
mimic,openalex_mimic_T_ml_top350.csv,92,Evaluating a Recurrent Neural Network Model for Predicting Readmission to Cardiovascular ICUs Based on Clinical Time Series Data,https://doi.org/10.3390/engproc2022018001,T,3,TRUE,LSTM; RNN,Deep learning,TRUE,RNN,Deep learning,TRUE,ok,10.3390/engproc2022018001,https://openalex.org/W4283218192,https://doi.org/10.3390/engproc2022018001,Evaluating a Recurrent Neural Network Model for Predicting Readmission to Cardiovascular ICUs Based on Clinical Time Series Data,"Unexpected readmission to intensive care units (ICUs) endangers patients' lives due to premature patient transfers or prolonged stays at the care units. This can be mitigated by stratification of the readmission risk at discharge times using state-of-the-art machine learning (ML) methods. We fitted two alternative recurrent neural network (RNN) models based on long short-term memory (LSTM) on the Medical Information Mart for Intensive Care (MIMIC-III) dataset and evaluated them with an independent cohort from our hospital's ICU (UKD). The first model processed all the available time series data from each patient's ICU stay, whereas the second model focused on the data from the last 48 hours of the ICU stay prior to transfer. Our readmission prediction on MIMIC data reached an area under the curve of receiver operating characteristic (AUC-ROC) of 0.82. Furthermore, the model with the 48 h time frame outperformed the other model, as both models were applied to the independent test cohort. The results suggest that the RNN model for time series forecasting holds promise for future use as a clinical decision support tool, although follow-up studies with larger cohorts as well as user studies should be conducted to assess the generalizability and usability of the methods, respectively.","Sobhan Moazemi, Sebastian Kalkhoff, Steven Kessler, et al.",,2022,6/16/2022,machine learning; prediction; neural network; recurrent neural network; rnn; lstm; auc; area under the curve,T,time series; forecasting; follow-up,openalex_mimic_T_ml_top350.csv,FALSE,Deep learning,LSTM,FALSE,Deep learning,LSTM;RNN
nhanes,openalex_nhanes_T_ml_top350.csv,9,"Development and validation of anthropometric prediction equations for lean body mass, fat mass and percent fat in adults using the National Health and Nutrition Examination Survey (NHANES) 1999–2006",https://doi.org/10.1017/s0007114517002665,T,4,TRUE,Transformer; Linear Regression,Deep learning; Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1017/s0007114517002665,https://openalex.org/W2767288521,https://doi.org/10.1017/s0007114517002665,"Development and validation of anthropometric prediction equations for lean body mass, fat mass and percent fat in adults using the National Health and Nutrition Examination Survey (NHANES) 1999–2006","Quantification of lean body mass and fat mass can provide important insight into epidemiological research. However, there is no consensus on generalisable anthropometric prediction equations to validly estimate body composition. We aimed to develop and validate practical anthropometric prediction equations for lean body mass, fat mass and percent fat in adults (men, n 7531; women, n 6534) from the National Health and Nutrition Examination Survey 1999-2006. Using a prediction sample, we predicted each of dual-energy X-ray absorptiometry (DXA)-measured lean body mass, fat mass and percent fat based on different combinations of anthropometric measures. The proposed equations were validated using a validation sample and obesity-related biomarkers. The practical equation including age, race, height, weight and waist circumference had high predictive ability for lean body mass (men: R 2=0·91, standard error of estimate (SEE)=2·6 kg; women: R 2=0·85, SEE=2·4 kg) and fat mass (men: R 2=0·90, SEE=2·6 kg; women: R 2=0·93, SEE=2·4 kg). Waist circumference was a strong predictor in men only. Addition of other circumference and skinfold measures slightly improved the prediction model. For percent fat, R 2 were generally lower but the trend in variation explained was similar. Our validation tests showed robust and consistent results with no evidence of substantial bias. Additional validation using biomarkers demonstrated comparable abilities to predict obesity-related biomarkers between direct DXA measurements and predicted scores. Moreover, predicted fat mass and percent fat had significantly stronger associations with obesity-related biomarkers than BMI did. Our findings suggest the potential application of the proposed equations in various epidemiological settings.","Dong Hoon Lee, NaNa Keum, Frank B. Hu, et al.",British Journal Of Nutrition,2017,11/7/2017,prediction model; prediction; predictive,T,,openalex_nhanes_T_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
midus,openalex_midus_T_ml_top350.csv,8,Predicting Arts Engagement in Older Adults: A Prospective Analysis Using the MIDUS Study,https://doi.org/10.1093/geroni/igaf122.3072,T,1,TRUE,Logistic Regression,Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1093/geroni/igaf122.3072,https://openalex.org/W7118063499,https://doi.org/10.1093/geroni/igaf122.3072,Predicting Arts Engagement in Older Adults: A Prospective Analysis Using the MIDUS Study,"Abstract Regular participation in the arts shows promise for increasing older adults’ well-being (Fancourt et al., 2019): Previous work has found associations between arts engagement and increased well-being, as well as reductions in loneliness, depression, and health problems. However, there has been less attention on what factors predict later arts participation in middle- and older age. The current study draws from two waves of the Mid-life in the United States (MIDUS) study, the Refresher 1 (2011-14) and the Refresher Arts Surveys (2021-22), to examine how facets of subjective well-being predict arts engagement over 9 years. The sample (N = 1545), restricted to ages 55+, had an average age of 68.32 (SD = 7.73), was 54.2% female, and 79% white. Predictive factors included Ryff’s six aspects of eudaimonic well-being (WB), life satisfaction (LS), and positive affect (PA). Logistic regression models were used to examine associations between well-being and later monthly arts participation, with covariates of age, gender, education, retirement status, and health. Several aspects of WB predicted greater likelihood of arts participation (purpose in life [OR: 1.03, 95% CI = 1.01, 1.05], personal growth [OR: 1.06, 95% CI = 1.04, 1.08], environmental mastery [OR: 1.02, 95% CI = 1.01, 1.04], and autonomy [OR: 1.03, 95% CI = 1.01, 1.05]), as did LS (OR: 1.19, 95% CI = 1.05, 1.29) and PA (OR: 1.22, 95% CI = 1.02, 1.38). These findings suggest that cultivating well-being may serve as a pathway to arts participation, enhancing quality of life in later years.","Jacquelyn E. Stephens, Jennifer Smith",Innovation in Aging,2025,12/1/2025,predictive; regression model; logistic regression,T,,openalex_midus_T_ml_top350.csv,FALSE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
adni,openalex_adni_T_ml_top350.csv,235,Predicting Alzheimer’s Disease by Hierarchical Graph Convolution from Positron Emission Tomography Imaging,https://doi.org/10.1109/bigdata47090.2019.9005971,T,1,TRUE,CNN; DNN,Deep learning,TRUE,CNN,Deep learning,TRUE,ok,10.1109/bigdata47090.2019.9005971,https://openalex.org/W2978647781,https://doi.org/10.1109/bigdata47090.2019.9005971,Predicting Alzheimer’s Disease by Hierarchical Graph Convolution from Positron Emission Tomography Imaging,"Imaging-based early diagnosis of Alzheimer Disease (AD) has become an effective approach, especially by using nuclear medicine imaging techniques such as Positron Emission Topography (PET). In various literature it has been found that PET images can be better modeled as signals (e.g. uptake of florbetapir) defined on a network (non-Euclidean) structure which is governed by its underlying graph patterns of pathological progression and metabolic connectivity. In order to effectively apply deep learning framework for PET image analysis to overcome its limitation on Euclidean grid, we develop a solution for 3D PET image representation and analysis under a generalized, graph-based CNN architecture (PETNet), which analyzes PET signals defined on a group-wise inferred graph structure. Computations in PETNet are defined in non-Euclidean, graph (network) domain, as it performs feature extraction by convolution operations on spectral-filtered signals on the graph and pooling operations based on hierarchical graph clustering. Effectiveness of the PETNet is evaluated on the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset, which shows improved performance over both deep learning and other machine learning-based methods.","Jiaming Guo, Wei Qiu, Xiang Li, et al.",,2019,12/1/2019,machine learning; deep learning; cnn,T,progression,openalex_adni_T_ml_top350.csv,FALSE,Deep learning,CNN,FALSE,Deep learning,CNN;DNN
hrs,openalex_hrs_T_ml_top350.csv,163,Interplay of education and DNA methylation age on cognitive impairment: insights from the Health and Retirement Study,https://doi.org/10.1007/s11357-024-01356-0,T,2,TRUE,Logistic Regression,Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1007/s11357-024-01356-0,https://openalex.org/W4402841572,https://doi.org/10.1007/s11357-024-01356-0,Interplay of education and DNA methylation age on cognitive impairment: insights from the Health and Retirement Study,"Few studies have assessed the association of educational attainment on dementia and cognitive impairment through DNA methylation age acceleration, while accommodating exposure-mediator interaction effects. We evaluated the mediation role of six epigenetic clocks with dementia, cognitive impairment non-dementia, and normal cognition, while accommodating exposure-mediator interaction effects. To understand the joint association of low education (≤12 years) and DNA methylation age acceleration (yes/no) in relation to cognitive impairment, we used weighted logistic regression, adjusting for chronological age, sex, race/ethnicity, and cell type composition. We performed four-way mediation and interaction decomposition analysis. Analyses were conducted on 2016 venous blood study participants from the Health and Retirement Study (N = 3724). Both GrimAge acceleration (OR = 1.6 95%CI 1.3-2.1) and low educational attainment (OR = 2.4 95%CI 1.9-3.0) were associated with higher odds of cognitive impairment in a mutually adjusted logistic model. We found additive interaction associations between low education and GrimAge acceleration on dementia. We observed that 6-8% of the association of education on dementia was mediated through GrimAge acceleration. While mediation effects were small, the portion of the association of education on dementia due to additive interaction with GrimAge acceleration was between 23.6 and 29.2%. These results support the interplay of social disadvantage and biological aging processes on impaired cognition.","Erin B. Ware, César Higgins Tejera, Herong Wang, et al.",GeroScience,2024,9/25/2024,logistic regression,T,,openalex_hrs_T_ml_top350.csv,TRUE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
elsa,openalex_elsa_T_ml_top350.csv,58,P2‐423: Interactive Impacts of Loneliness and Social Isolation on Incident Dementia in the English Longitudinal Study of Ageing,https://doi.org/10.1016/j.jalz.2016.06.1635,T,2,TRUE,Logistic Regression,Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1016/j.jalz.2016.06.1635,https://openalex.org/W2538467637,https://doi.org/10.1016/j.jalz.2016.06.1635,P2‐423: Interactive Impacts of Loneliness and Social Isolation on Incident Dementia in the English Longitudinal Study of Ageing,"Social isolation and loneliness have previously been characterised as risk factors for cognitive decline and dementia. We wanted to investigate potential synergistic effects of these factors on incident dementia over an eight year period in the English Longitudinal Study of Ageing. Social isolation and loneliness were evaluated in Wave 3 of the study, among 4714 community-dwelling participants aged over 50. Covariates (age, sex, education level, deprivation index, depressive symptomatology, cognitive status, and self-reported chronic illness) were also evaluated at this time. A logistic regression model was used to evaluate the interactive impact of social isolation and loneliness upon incident dementia assessed at wave 6. Individuals introduced to the panel as refreshment, or those who developed dementia in the interim, were excluded from the analysis. Between waves 5 and 6, 18 individuals in our sample had developed incident dementia. Loneliness was related to increased likelihood of developing dementia (OR = 1.8, CI95 = 1.02, 3.18), but social isolation was not (OR = 0.75, CI95 = 0.4, 1.39). The interaction term was also significant (OR = 2.19, CI95 = 1.42, 3.48) such that having high levels of both loneliness and social isolation was related to increased likelihood of dementia. Social isolation and loneliness seem to have super-additive effects on incident dementia over 8 years. Social isolation may only be a risk factor of dementia for older adults when it is accompanied by loneliness.","Joanna McHugh Power, Brian Lawlor, Andrew Steptoe, et al.",Alzheimer s & Dementia,2016,7/1/2016,regression model; logistic regression,T,longitudinal; incident,openalex_elsa_T_ml_top350.csv,FALSE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
radar_cns,openalex_radar_cns_T_ml_top350.csv,166,Predicting Changes in Depression Severity Using the PSYCHE-D (Prediction of Severity Change-Depression) Model Involving Person-Generated Health Data: Longitudinal Case-Control Observational Study,https://doi.org/10.2196/34148,T,5,TRUE,Gradient Boosting; LightGBM; Random Forest; Support Vector Machine; Ensemble,Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,TRUE,LightGBM,Tree-based ensemble,TRUE,ok,10.2196/34148,https://openalex.org/W4220940844,https://doi.org/10.2196/34148,Predicting Changes in Depression Severity Using the PSYCHE-D (Prediction of Severity Change-Depression) Model Involving Person-Generated Health Data: Longitudinal Case-Control Observational Study,These results demonstrate that low-burden PGHD can be the basis of accurate and timely warnings that an individual's mental health may be deteriorating. We hope this work will serve as a basis for improved engagement and treatment of individuals experiencing depression.,"Mariko Makhmutova, Raghu Kainkaryam, Marta Ferreira, et al.",JMIR mhealth and uhealth,2022,2/11/2022,prediction,T,longitudinal,openalex_radar_cns_T_ml_top350.csv,TRUE,Tree-based ensemble,LightGBM,FALSE,Tree-based ensemble;Kernel / instance-based;Ensemble / stacking,Gradient Boosting;LightGBM;Random Forest;Support Vector Machine;Ensemble
studentlife,openalex_studentlife_T_ml_top350.csv,55,"Academic Performance Prediction Based on Multisource, Multifeature Behavioral Data",https://doi.org/10.1109/access.2020.3002791,T,2,TRUE,LSTM,Deep learning,TRUE,LSTM,Deep learning,TRUE,ok,10.1109/access.2020.3002791,https://openalex.org/W3035905514,https://doi.org/10.1109/access.2020.3002791,"Academic Performance Prediction Based on Multisource, Multifeature Behavioral Data","Digital data trails from disparate sources covering different aspects of student life are stored daily in most modern university campuses. However, it remains challenging to (i) combine these data to obtain a holistic view of a student, (ii) use these data to accurately predict academic performance, and (iii) use such predictions to promote positive student engagement with the university. To initially alleviate this problem, in this article, a model named Augmented Education (AugmentED) is proposed. In our study, (1) first, an experiment is conducted based on a real-world campus dataset of college students (N =156 ) that aggregates multisource behavioral data covering not only online and offline learning but also behaviors inside and outside of the classroom. Specifically, to gain in-depth insight into the features leading to excellent or poor performance, metrics measuring the linear and nonlinear behavioral changes (e.g., regularity and stability) of campus lifestyles are estimated; furthermore, features representing dynamic changes in temporal lifestyle patterns are extracted by the means of long short-term memory (LSTM). (2) Second, machine learning-based classification algorithms are developed to predict academic performance. (3) Finally, visualized feedback enabling students (especially at-risk students) to potentially optimize their interactions with the university and achieve a study-life balance is designed. The experiments show that the AugmentED model can predict students' academic performance with high accuracy.","Liang Zhao, Kun Chen, Jie Song, et al.",IEEE Access,2020,6/16/2020,machine learning; prediction; classification; algorithm; lstm,T,temporal,openalex_studentlife_T_ml_top350.csv,FALSE,Deep learning,LSTM,FALSE,Deep learning,LSTM
adni,openalex_adni_T_ml_top350.csv,134,An Effective Multimodal Image Fusion Method Using MRI and PET for Alzheimer's Disease Diagnosis,https://doi.org/10.3389/fdgth.2021.637386,T,4,TRUE,CNN; DNN; Random Forest; Support Vector Machine; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,TRUE,CNN,Deep learning,TRUE,ok,10.3389/fdgth.2021.637386,https://openalex.org/W3134925858,https://doi.org/10.3389/fdgth.2021.637386,An Effective Multimodal Image Fusion Method Using MRI and PET for Alzheimer's Disease Diagnosis,"Alzheimer's disease (AD) is an irreversible brain disease that severely damages human thinking and memory. Early diagnosis plays an important part in the prevention and treatment of AD. Neuroimaging-based computer-aided diagnosis (CAD) has shown that deep learning methods using multimodal images are beneficial to guide AD detection. In recent years, many methods based on multimodal feature learning have been proposed to extract and fuse latent representation information from different neuroimaging modalities including magnetic resonance imaging (MRI) and 18-fluorodeoxyglucose positron emission tomography (FDG-PET). However, these methods lack the interpretability required to clearly explain the specific meaning of the extracted information. To make the multimodal fusion process more persuasive, we propose an image fusion method to aid AD diagnosis. Specifically, we fuse the gray matter (GM) tissue area of brain MRI and FDG-PET images by registration and mask coding to obtain a new fused modality called ""GM-PET."" The resulting single composite image emphasizes the GM area that is critical for AD diagnosis, while retaining both the contour and metabolic characteristics of the subject's brain tissue. In addition, we use the three-dimensional simple convolutional neural network (3D Simple CNN) and 3D Multi-Scale CNN to evaluate the effectiveness of our image fusion method in binary classification and multi-classification tasks. Experiments on the Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset indicate that the proposed image fusion method achieves better overall performance than unimodal and feature fusion methods, and that it outperforms state-of-the-art methods for AD diagnosis.","Juan Song, Jian Zheng, Ping Li, et al.",Frontiers in Digital Health,2021,2/26/2021,deep learning; classification; neural network; convolutional neural network; cnn,T,,openalex_adni_T_ml_top350.csv,TRUE,Deep learning,CNN,FALSE,Deep learning;Tree-based ensemble;Kernel / instance-based;Ensemble / stacking,CNN;DNN;Random Forest;Support Vector Machine;Ensemble
