dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason
adni,openalex_adni_H_ml_top350.csv,0,Prediction of Stage of Alzheimer's Disease DenseNet Deep Learning Model,https://doi.org/10.1201/9781003217091-8,H,1,True,DNN; AdaBoost; Extra Trees; Gradient Boosting; Random Forest; XGBoost; Logistic Regression; k-Nearest Neighbors; Decision Tree,Deep learning; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,1,Ensemble Model for Diagnostic Classification of Alzheimer’s Disease Based on Brain Anatomical Magnetic Resonance Imaging,https://doi.org/10.3390/diagnostics12123193,H,0,False,MLP; Gradient Boosting; Random Forest; XGBoost; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Other classical ML; Tree-based ensemble,False,,,False,not_included_any
adni,openalex_adni_H_ml_top350.csv,2,Diagnostic Classification and Biomarker Identification of Alzheimer’s Disease with Random Forest Algorithm,https://doi.org/10.3390/brainsci11040453,H,0,False,CNN; DNN; MLP; Random Forest; Support Vector Machine; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,False,,,False,not_included_any
adni,openalex_adni_H_ml_top350.csv,3,Multimodal deep learning models for early detection of Alzheimer’s disease stage,https://doi.org/10.1038/s41598-020-74399-w,H,11,True,Autoencoder; CNN; DNN; RNN; Random Forest; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Other classical ML; Tree-based ensemble,True,Autoencoder,Deep learning,True,ok
adni,openalex_adni_H_ml_top350.csv,4,Alzheimer’s disease diagnosis from diffusion tensor images using convolutional neural networks,https://doi.org/10.1371/journal.pone.0230409,H,4,True,CNN; DNN; Transformer; Linear Regression; Support Vector Machine; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM,True,Ensemble,Ensemble / stacking,True,ok
adni,openalex_adni_H_ml_top350.csv,5,Alzheimer’s Disease Prediction using Deep Learning Technique in 3D Brain Magnetic Resonance Imaging,https://doi.org/10.1109/iciics59993.2023.10421074,H,2,True,DNN; RNN; Gradient Boosting; XGBoost,Deep learning; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,6,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease,https://doi.org/10.1016/j.nicl.2021.102712,H,1,True,CNN; Support Vector Machine,Deep learning; Kernel / instance-based,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,7,Classification of Alzheimer’s Disease using Machine Learning Techniques,https://doi.org/10.5220/0007949902960303,H,0,False,DNN; k-Nearest Neighbors; Naive Bayes; Decision Tree,Deep learning; Kernel / instance-based; Other classical ML; Probabilistic / statistical,False,,,False,not_included_any
adni,openalex_adni_H_ml_top350.csv,8,Classification of Alzheimer’s Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images,https://doi.org/10.3389/fninf.2018.00035,H,6,True,Autoencoder; CNN; DNN; GRU; LSTM; RNN; Random Forest; Support Vector Machine; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,9,Deep learning-based identification of genetic variants: application to Alzheimer’s disease classification,https://doi.org/10.1093/bib/bbac022,H,2,True,CNN; DNN; Random Forest; XGBoost,Deep learning; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,10,Risk Score Stratification of Alzheimer’s Disease and Mild Cognitive Impairment using Deep Learning,https://doi.org/10.1101/2020.11.09.20226746,H,2,True,DNN,Deep learning,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,11,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer’s disease,https://doi.org/10.1038/s41598-021-82098-3,H,6,True,CNN; DNN; LSTM; RNN; AdaBoost; Gradient Boosting; Random Forest; Linear Regression; Support Vector Machine; k-Nearest Neighbors; Naive Bayes; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Other classical ML; Probabilistic / statistical; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,12,"Early diagnosis of Alzheimer’s disease using combined features from voxel-based morphometry and cortical, subcortical, and hippocampus regions of MRI T1 brain images",https://doi.org/10.1371/journal.pone.0222446,H,8,True,DNN; Transformer; Random Forest; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Other classical ML; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,13,Ensemble of deep convolutional neural networks based multi‐modality images for Alzheimer's disease diagnosis,https://doi.org/10.1049/iet-ipr.2019.0617,H,2,True,CNN; AdaBoost; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Other classical ML; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,14,Automated classification of Alzheimer's disease and mild cognitive impairment using a single MRI and deep neural networks,https://doi.org/10.1016/j.nicl.2018.101645,H,1,True,CNN; DNN,Deep learning,True,CNN,Deep learning,True,ok
adni,openalex_adni_H_ml_top350.csv,15,Automated MRI-Based Deep Learning Model for Detection of Alzheimer’s Disease Process,https://doi.org/10.1142/s012906572050032x,H,1,True,CNN; DNN; Support Vector Machine,Deep learning; Kernel / instance-based,True,CNN,Deep learning,True,ok
adni,openalex_adni_H_ml_top350.csv,16,Ensemble learning using traditional machine learning and deep neural network for diagnosis of Alzheimer’s disease,https://doi.org/10.1016/j.ibneur.2022.08.010,H,2,True,DNN; Gradient Boosting; XGBoost; Ensemble,Deep learning; Ensemble / stacking; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,17,An Improved Deep Residual Network Prediction Model for the Early Diagnosis of Alzheimer’s Disease,https://doi.org/10.3390/s21124182,H,1,True,CNN; Transformer,Deep learning,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,18,Convolutional Neural Networks-Based MRI Image Analysis for the Alzheimer’s Disease Prediction From Mild Cognitive Impairment,https://doi.org/10.3389/fnins.2018.00777,H,7,True,Autoencoder; CNN; DNN; Transformer; Random Forest; Elastic Net; LASSO; Linear Regression; Logistic Regression; Support Vector Machine; Mixed-Effects Model,Deep learning; Kernel / instance-based; Linear / GLM; Probabilistic / statistical; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,19,Classification of Alzheimer Disease based on Normalized Hu Moment Invariants and Multiclassifier,https://doi.org/10.14569/ijacsa.2017.081102,H,1,True,Support Vector Machine; k-Nearest Neighbors,Kernel / instance-based,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,20,Deep Learning in current Neuroimaging: a multivariate approach with power and type I error control but arguable generalization ability,https://doi.org/10.48550/arxiv.2103.16685,H,0,False,Autoencoder; DNN; Support Vector Machine,Deep learning; Kernel / instance-based,False,,,False,not_included_any
adni,openalex_adni_H_ml_top350.csv,21,Alzheimer's disease classification based on combination of multi-model convolutional networks,https://doi.org/10.1109/ist.2017.8261566,H,2,True,Autoencoder; CNN; DNN,Deep learning,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,22,Block-wise imputation EM algorithm in multi-source scenario: ADNI case,https://doi.org/10.1007/s10044-024-01268-x,H,5,True,Autoencoder; DNN; MLP; Random Forest; Linear Regression; Ridge Regression; Support Vector Machine; k-Nearest Neighbors; Ensemble,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Tree-based ensemble,True,Linear Regression,Linear / GLM,True,ok
adni,openalex_adni_H_ml_top350.csv,23,Classification of MR brain images by combination of multi-CNNs for AD diagnosis,https://doi.org/10.1117/12.2281808,H,2,True,CNN,Deep learning,True,CNN,Deep learning,True,ok
adni,openalex_adni_H_ml_top350.csv,24,Diagnosis of Alzheimer’s Disease via Multi-Modality 3D Convolutional Neural Network,https://doi.org/10.3389/fnins.2019.00509,H,6,True,Autoencoder; CNN; DNN; Transformer; Random Forest; Support Vector Machine,Deep learning; Kernel / instance-based; Tree-based ensemble,True,CNN,Deep learning,True,ok
adni,openalex_adni_H_ml_top350.csv,25,Neuroimaging modality fusion in Alzheimer’s classification using convolutional neural networks,https://doi.org/10.1371/journal.pone.0225759,H,6,True,Autoencoder; CNN; DNN; Transformer; Random Forest; Support Vector Machine,Deep learning; Kernel / instance-based; Tree-based ensemble,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,26,Comparative Analysis of Different Machine Learning Algorithms for Detection of Alzheimer Disease from Medical images,https://doi.org/10.1109/icaiihi57871.2023.10489217,H,3,True,Support Vector Machine; k-Nearest Neighbors; Naive Bayes; Decision Tree,Kernel / instance-based; Other classical ML; Probabilistic / statistical,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,27,Cortical graph neural network for AD and MCI diagnosis and transfer learning across populations,https://doi.org/10.1016/j.nicl.2019.101929,H,1,True,CNN; DNN; Graph neural network,Deep learning,True,,,False,primary_unclear
adni,openalex_adni_H_ml_top350.csv,28,Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation,https://doi.org/10.1016/j.media.2020.101694,H,2,True,CNN; DNN; Support Vector Machine,Deep learning; Kernel / instance-based,True,CNN,Deep learning,True,ok
